Date,PDI10801.PV,FI10804A.PV,LI90030.PV,PIC10800.PV,TI10806.PV,TI10817.PV,TI10848.PV,TI90000.PV,TI90033A.PV,TIC10802C.PV,Total Feed,DevA,Steam,PE Ratio,Feed Temp,LG Ratio,Dev Feed-MidA,Mid Ti Dev,SHC
1/22/2018 0:00,0.337,4076.509,67.164,7.002,177.014,130.859,86.137,87.459,130.153,87.408,930.8643431,13.265,229.4380232,0.289686141,442.0411591,4.87774941,311.8881591,37.038,0.327102101
1/22/2018 2:00,0.337,4413.149,69.215,7.494,177.054,131.106,91.375,94.882,125.134,93.13,963.8251108,10.874,230.4100931,0.290367102,442.48137,4.881028672,317.34737,31.145,0.314160588
1/22/2018 6:00,0.337,3889.995,67.865,7.501,176.965,134.905,90.334,89.409,130.047,92.095,955.2413647,18.762,229.7455759,0.290261285,442.9482879,4.852624867,312.9012879,34.713,0.316673893
1/22/2018 7:00,0.337,3855.147,67.825,7.497,177.007,134.826,89.777,88.627,130.03,91.638,957.3332993,24.789,229.282415,0.289182921,443.1344041,4.831682971,313.1044041,35.207,0.31492636
1/22/2018 11:00,0.337,3980.707,68.704,7.5,177.053,134.543,90.836,90.151,136.311,92.078,919.0794551,28.553,229.7195393,0.288729445,443.0720388,5.062118378,306.7610388,36.296,0.333235998
1/22/2018 12:00,0.337,3853.081,67.58,7.506,176.991,135.61,91.031,89.476,130.429,92.825,916.2886128,27.962,229.1674308,0.288695398,443.0870763,5.10248838,312.6580763,34.968,0.333518216
1/22/2018 13:00,0.337,3892.776,68.581,7.503,177.044,134.385,90.27,89.294,128.085,92.195,920.9182827,27.226,228.8198832,0.288319236,443.0785433,5.070582361,314.9935433,35.089,0.330617559
1/22/2018 14:00,0.337,3841.513,68.599,7.501,177.058,134.003,90.104,88.536,129.186,91.958,921.1246066,24.623,228.9532178,0.288413094,443.0644976,5.062064314,313.8784976,35.012,0.330775328
1/22/2018 17:00,0.337,4068.818,68.216,7.508,177.14,133.268,90.079,90.675,127.986,91.726,923.6752285,26.987,228.8737363,0.28874805,442.9825264,5.051624051,314.9965264,34.812,0.329408815
1/22/2018 18:00,0.337,4181.647,68.792,7.508,177.132,133.421,90.419,91.611,127.7,92.172,925.0869479,28.905,228.7058695,0.288912697,442.9956488,5.109724022,315.2956488,34.775,0.328420568
1/22/2018 19:00,0.337,4062.577,69.223,7.501,177.054,133.797,90.443,90.791,128.87,92.314,921.2039242,29.865,231.0371624,0.28895991,442.3780368,5.116152761,313.5080368,34.901,0.334755562
1/22/2018 20:00,0.337,4105.284,68.069,7.494,176.985,133.465,89.785,90.65,127.306,91.701,924.9451808,31.164,226.4296523,0.288798286,442.2527417,5.090367621,314.9467417,35.214,0.324158366
1/22/2018 21:00,0.337,4103.995,69.132,7.497,177.009,132.97,90.009,90.855,127.913,91.856,922.2058345,30.985,229.1896121,0.288785463,443.2286513,5.095758262,315.3156513,34.872,0.330713199
1/22/2018 23:00,0.337,3795.74,67.623,7.498,176.888,141.407,92.137,90.271,132.517,94.109,910.3079699,25.784,228.4100833,0.289119819,443.2991534,5.138366525,310.7821534,38.108,0.334962298
1/23/2018 0:00,0.337,3610.74,68.888,7.494,177.155,143.921,94.808,90.507,135.211,96.195,904.5122425,25.219,229.1659995,0.28912832,442.8935192,5.164323688,307.6825192,37.938,0.339331124
1/23/2018 3:00,0.337,4186.416,62.119,7.01,181.836,153.648,91.649,94.898,153.883,93.253,877.0936224,26.278,228.3109414,0.289468801,443.1286944,5.138001104,289.2456944,41.593,0.351906652
1/23/2018 4:00,0.337,4287.05,65.511,6.992,181.076,148.19,92.152,95.459,146.251,93.567,882.1419407,26.59,228.2793264,0.289426537,443.2781301,5.18877948,297.0271301,41.341,0.349124298
1/23/2018 6:00,0.337,4383.287,65.588,6.995,179.577,145.244,91.416,95.323,139.137,93.306,893.5189062,28.206,228.086679,0.289274959,443.1716569,5.250038883,304.0346569,40.496,0.342764702
1/23/2018 7:00,0.337,4384.345,65.756,7.001,179.974,146.843,92.115,96.017,139.77,94.009,891.9918435,29.9,227.5261604,0.289631752,442.9867215,5.263184898,303.2167215,40.817,0.342419731
1/23/2018 9:00,0.337,4373.536,66.518,7.005,185.547,180.07,94.746,98.487,170.96,96.413,931.809404,27.603,225.2645409,0.288933243,443.0322228,5.041053438,272.0722228,24.042,0.318825531
1/23/2018 10:00,0.337,4355.672,69.114,7.006,185.704,180.736,95.098,99.024,172.131,96.782,930.5731179,12.608,217.2039621,0.286117464,442.7937758,5.052519689,270.6627758,22.545,0.304476245
1/23/2018 12:00,0.338,4029.188,66.687,7.001,176.914,130.671,85.933,87.169,130.365,87.365,927.0787197,16.298,225.049406,0.289052642,434.6947557,4.871960605,304.3297557,36.625,0.320569813
1/23/2018 13:00,0.338,4077.635,67.273,6.999,177.069,130.65,86.092,87.59,128.342,87.448,928.9729327,20.153,226.3237885,0.289601632,434.8851805,4.879661011,306.5431805,36.828,0.32210071
1/23/2018 14:00,0.338,4218.409,67.346,7.007,176.924,130.623,86.705,89.42,128.671,88.134,928.8160195,19.494,226.2299272,0.289486425,434.8792479,4.913416548,306.2082479,36.302,0.321996022
1/23/2018 17:00,0.338,4144.88,66.562,6.993,176.929,131.023,86.898,88.88,127.441,88.349,927.0048606,21.807,226.7154811,0.290028331,434.8433191,4.922668903,307.4023191,35.866,0.323745423
1/23/2018 18:00,0.338,4400.807,69.13,7.501,177.004,131.115,91.187,94.645,124.548,92.986,964.0419355,21.673,226.6911254,0.290056588,434.7501329,4.87504104,310.2021329,31.383,0.30743999
1/23/2018 19:00,0.338,3933.836,67.787,7.492,177.031,136.561,90.563,89.92,132.659,92.287,957.0714014,21.749,226.8542118,0.290145702,434.7972953,4.854918863,302.1382953,35.742,0.310666765
1/23/2018 23:00,0.338,3963.285,68.133,7.493,176.997,135.514,90.293,89.948,131.389,92.044,957.6143512,22.296,227.1064771,0.29030064,435.0287514,4.851485354,303.6397514,35.291,0.310888472
1/24/2018 0:00,0.338,3838.826,68.012,7.497,177.068,134.975,90.319,88.875,130.074,92.097,955.1902371,22.238,226.6526369,0.290288914,434.9243188,4.849922895,304.8503188,34.852,0.3111063
1/24/2018 1:00,0.338,3831.696,68.006,7.501,177.13,135.14,90.117,88.606,129.897,91.927,956.9792474,22.176,226.5125592,0.29026802,434.8532705,4.840943011,304.9562705,35.07,0.310092935
1/24/2018 2:00,0.338,3873.612,67.739,7.489,176.955,134.788,89.811,88.798,129.708,91.65,957.5162514,22.51,226.1095999,0.290406471,434.6089568,4.833949286,304.9009568,35.069,0.309143483
